System,Exc_TZ,TZ_correlation,QZ_correlation,CTZ_correlation,delta_Riemann_QZ_to_CBS,Exc_comp,Ex_TZ
070,-31.57407656,-0.89550613,-1.03738173,-1.08220792,-0.129710335,-32.03236429,-30.60716621
071,-19.70260622,-0.60017669,-0.68553233,-0.72217548,-0.078036736,-19.98799739,-19.06595256
072,-24.47104638,-0.80905426,-0.89482995,-0.93893131,-0.078420768,-24.76511989,-23.61591779
073,-29.07186542,-0.93388494,-1.06155879,-1.15211559,-0.116726328,-29.53449625,-28.06492306
074,-18.33366936,-0.59607843,-0.66594533,-0.71870891,-0.063876093,-18.59004283,-17.70445924
075,-21.44336642,-0.67105053,-0.74808149,-0.79734178,-0.070425864,-21.71711449,-20.73521405
076,-29.95213375,-0.91034024,-1.02288874,-1.08098364,-0.102897917,-30.33822357,-28.99640085
077,-36.708236,-0.92322783,-1.11987932,-1.15306529,-0.179789412,-37.31451436,-35.73268954
078,-21.78394797,-0.64383549,-0.72756657,-0.78028923,-0.076551475,-22.08068427,-21.09092492
079,-31.4179601,-0.93671615,-1.08112221,-1.14912217,-0.132023818,-31.906796,-30.38601053
080,-36.39557972,-1.06740649,-1.20767594,-1.27398224,-0.128241906,-36.87066683,-35.24977328
081,-1.063366811,-0.0393145,-0.04100719,-0.0393145,-0.001547549,-1.06660705,-1.023967098
082,-16.38972884,-0.51382847,-0.57601594,-0.60564494,-0.056855143,-16.60058792,-15.85763847
083,-7.36264,-0.22273243,-0.2441217,-0.29264995,-0.019555226,-7.473502016,-7.13036441
084,-2.190094755,-0.05007246,-0.05554091,-0.07773347,-0.004999552,-2.228223768,-2.138779186
085,-34.11789706,-0.93719727,-1.07045643,-1.14642295,-0.12183272,-34.58221462,-33.05474882
086,-12.27425194,-0.35143366,-0.39880489,-0.44986131,-0.043309337,-12.46336016,-11.91900283
087,-29.14944739,-0.84884523,-0.94948085,-1.03678171,-0.092006518,-29.53002601,-28.23272323
088,-12.37294729,-0.28353157,-0.33356587,-0.33631411,-0.045744059,-12.52150819,-12.08760803
089,-32.50986515,-0.90436213,-1.0508338,-1.1051924,-0.133912311,-32.9910794,-31.47404045
090,-37.58773668,-0.96481104,-1.15833776,-1.163506,-0.176932578,-38.15689094,-36.54589415
091,-30.17939594,-0.87360371,-0.98950794,-1.06978655,-0.105965906,-30.59744892,-29.19157224
092,-14.82807711,-0.44484813,-0.50344261,-0.52909907,-0.053570238,-15.02449277,-14.37007387
093,-35.52328643,-1.08894046,-1.2337453,-1.33375508,-0.132388405,-36.04529429,-34.31584033
094,-30.1773477,-0.92888832,-1.05490053,-1.13261177,-0.115207167,-30.62229053,-29.1536438
095,-26.87521462,-0.82917397,-0.93424551,-0.99180144,-0.096062076,-27.23897571,-26.00488505
096,-45.22391706,-1.16694586,-1.35200888,-1.42212859,-0.169194607,-45.83335742,-43.98548402
097,-26.29992245,-0.85770894,-0.93637714,-1.00768737,-0.071922717,-26.6004918,-25.39117017
098,-23.47196982,-0.74852955,-0.82551182,-0.88546707,-0.070381348,-23.75627096,-22.68681516
099,-29.03919323,-0.85556312,-0.96958812,-1.03070868,-0.104247813,-29.4326116,-28.11363713
100,-18.55597552,-0.5712252,-0.59709447,-0.65861298,-0.023651084,-18.69288365,-17.96729929
